x,y,pen
917,602,2
918,602,2
1046,602,2
1047,602,2
1048,602,2
1049,602,2
911,603,2
912,603,2
913,603,2
914,603,2
1050,603,2
1051,603,2
1052,603,2
910,604,2
1053,604,2
1054,604,2
1055,604,2
910,605,2
917,605,2
918,605,2
919,605,2
920,605,2
1056,605,2
1057,605,2
1058,605,2
1059,605,2
911,606,2
921,606,2
922,606,2
923,606,2
924,606,2
925,606,2
926,606,2
1060,606,2
1061,606,2
1062,606,2
912,607,2
927,607,2
928,607,2
929,607,2
930,607,2
931,607,2
932,607,2
933,607,2
934,607,2
1063,607,2
1064,607,2
1065,607,2
1066,607,2
913,608,2
914,608,2
935,608,2
936,608,2
937,608,2
938,608,2
939,608,2
940,608,2
941,608,2
942,608,2
943,608,2
1067,608,2
1068,608,2
1069,608,2
915,609,2
944,609,2
945,609,2
946,609,2
947,609,2
948,609,2
949,609,2
950,609,2
951,609,2
1070,609,2
1071,609,2
1072,609,2
1073,609,2
916,610,2
952,610,2
953,610,2
954,610,2
955,610,2
956,610,2
957,610,2
958,610,2
959,610,2
960,610,2
1074,610,2
1075,610,2
1076,610,2
917,611,2
960,611,2
961,611,2
962,611,2
963,611,2
964,611,2
965,611,2
966,611,2
967,611,2
968,611,2
1077,611,2
1078,611,2
1079,611,2
1080,611,2
918,612,2
969,612,2
970,612,2
971,612,2
972,612,2
973,612,2
974,612,2
975,612,2
976,612,2
1081,612,2
1082,612,2
1083,612,2
919,613,2
977,613,2
978,613,2
979,613,2
980,613,2
981,613,2
982,613,2
983,613,2
1072,613,2
1073,613,2
1074,613,2
1075,613,2
1076,613,2
1077,613,2
1078,613,2
1079,613,2
1080,613,2
1081,613,2
1084,613,2
920,614,2
921,614,2
984,614,2
985,614,2
986,614,2
987,614,2
988,614,2
989,614,2
990,614,2
1046,614,2
1047,614,2
1048,614,2
1049,614,2
1050,614,2
1051,614,2
1052,614,2
1053,614,2
1054,614,2
1055,614,2
1056,614,2
1057,614,2
1058,614,2
1059,614,2
1060,614,2
1061,614,2
1062,614,2
1063,614,2
1064,614,2
1065,614,2
1066,614,2
1067,614,2
1068,614,2
1069,614,2
1070,614,2
1071,614,2
1084,614,2
922,615,2
990,615,2
991,615,2
992,615,2
993,615,2
994,615,2
995,615,2
996,615,2
997,615,2
998,615,2
999,615,2
1000,615,2
1001,615,2
1002,615,2
1003,615,2
1004,615,2
1005,615,2
1006,615,2
1007,615,2
1008,615,2
1009,615,2
1010,615,2
1011,615,2
1012,615,2
1013,615,2
1014,615,2
1015,615,2
1016,615,2
1017,615,2
1018,615,2
1019,615,2
1020,615,2
1021,615,2
1022,615,2
1023,615,2
1024,615,2
1025,615,2
1026,615,2
1027,615,2
1028,615,2
1029,615,2
1030,615,2
1031,615,2
1032,615,2
1033,615,2
1034,615,2
1035,615,2
1036,615,2
1037,615,2
1038,615,2
1039,615,2
1040,615,2
1041,615,2
1042,615,2
1043,615,2
1044,615,2
1045,615,2
1082,615,2
1083,615,2
923,616,2
924,616,2
1081,616,2
925,617,2
1079,617,2
1080,617,2
926,618,2
1077,618,2
1078,618,2
927,619,2
928,619,2
1075,619,2
1076,619,2
929,620,2
1074,620,2
930,621,2
931,621,2
1072,621,2
1073,621,2
932,622,2
1070,622,2
1071,622,2
933,623,2
934,623,2
1069,623,2
935,624,2
936,624,2
1067,624,2
1068,624,2
937,625,2
1066,625,2
938,626,2
939,626,2
1064,626,2
1065,626,2
940,627,2
941,627,2
1062,627,2
1063,627,2
942,628,2
943,628,2
1060,628,2
1061,628,2
944,629,2
1058,629,2
1059,629,2
945,630,2
946,630,2
1056,630,2
1057,630,2
947,631,2
948,631,2
1054,631,2
1055,631,2
949,632,2
950,632,2
1052,632,2
1053,632,2
951,633,2
952,633,2
1050,633,2
1051,633,2
953,634,2
954,634,2
955,634,2
1048,634,2
1049,634,2
956,635,2
957,635,2
958,635,2
1046,635,2
1047,635,2
959,636,2
960,636,2
1044,636,2
1045,636,2
961,637,2
962,637,2
963,637,2
1041,637,2
1042,637,2
1043,637,2
964,638,2
965,638,2
966,638,2
1037,638,2
1038,638,2
1039,638,2
1040,638,2
967,639,2
968,639,2
1033,639,2
1034,639,2
1035,639,2
1036,639,2
969,640,2
970,640,2
971,640,2
972,640,2
973,640,2
974,640,2
1029,640,2
1030,640,2
1031,640,2
1032,640,2
975,641,2
976,641,2
977,641,2
978,641,2
979,641,2
980,641,2
981,641,2
982,641,2
1025,641,2
1026,641,2
1027,641,2
1028,641,2
983,642,2
984,642,2
985,642,2
986,642,2
987,642,2
988,642,2
989,642,2
990,642,2
1021,642,2
1022,642,2
1023,642,2
1024,642,2
991,643,2
992,643,2
993,643,2
994,643,2
995,643,2
996,643,2
997,643,2
998,643,2
999,643,2
1000,643,2
1001,643,2
1002,643,2
1003,643,2
1004,643,2
1005,643,2
1006,643,2
1007,643,2
1008,643,2
1009,643,2
1010,643,2
1011,643,2
1012,643,2
1013,643,2
1014,643,2
1015,643,2
1016,643,2
1017,643,2
1018,643,2
1019,643,2
1020,643,2
918,535,1
917,536,2
916,537,2
914,538,2
915,538,2
913,539,2
912,540,2
911,541,2
910,542,2
909,543,2
907,544,2
908,544,2
906,545,2
905,546,2
904,547,2
903,548,2
901,549,2
902,549,2
900,550,2
899,551,2
898,552,2
897,553,2
896,554,2
896,555,2
895,556,2
894,557,2
893,558,2
893,559,2
892,560,2
891,561,2
890,562,2
889,563,2
889,564,2
888,565,2
887,566,2
886,567,2
886,568,2
885,569,2
884,570,2
883,571,2
883,572,2
882,573,2
881,574,2
881,575,2
882,576,2
882,577,2
882,578,2
883,579,2
883,580,2
883,581,2
884,582,2
884,583,2
884,584,2
885,585,2
885,586,2
885,587,2
886,588,2
886,589,2
886,590,2
887,591,2
887,592,2
887,593,2
888,594,2
888,595,2
888,596,2
889,597,2
889,598,2
889,599,2
890,600,2
890,601,2
890,602,2
891,603,2
891,604,2
991,432,1
991,433,2
991,434,2
991,435,2
991,436,2
991,437,2
991,438,2
991,439,2
991,440,2
991,441,2
991,442,2
991,443,2
991,444,2
991,445,2
991,446,2
991,447,2
991,448,2
991,449,2
991,450,2
991,451,2
990,452,2
990,453,2
989,454,2
989,455,2
988,456,2
987,457,2
987,458,2
986,459,2
985,460,2
985,461,2
984,462,2
984,463,2
983,464,2
982,465,2
982,466,2
981,467,2
981,468,2
980,469,2
979,470,2
979,471,2
978,472,2
977,473,2
977,474,2
976,475,2
976,476,2
975,477,2
974,478,2
972,479,2
973,479,2
971,480,2
970,481,2
969,482,2
967,483,2
968,483,2
966,484,2
965,485,2
964,486,2
962,487,2
963,487,2
961,488,2
960,489,2
959,490,2
958,491,2
956,492,2
957,492,2
955,493,2
954,494,2
953,495,2
952,496,2
950,497,2
951,497,2
949,498,2
948,499,2
947,500,2
947,501,2
946,502,2
946,503,2
945,504,2
945,505,2
944,506,2
944,507,2
943,508,2
943,509,2
942,510,2
942,511,2
941,512,2
941,513,2
941,514,2
941,515,2
941,516,2
941,517,2
941,518,2
941,519,2
941,520,2
941,521,2
941,522,2
941,523,2
941,524,2
941,525,2
940,526,2
940,527,2
940,528,2
940,529,2
940,530,2
941,531,2
941,532,2
942,533,2
942,534,2
943,535,2
943,536,2
944,537,2
958,537,2
959,537,2
960,537,2
944,538,2
954,538,2
955,538,2
956,538,2
957,538,2
961,538,2
962,538,2
963,538,2
945,539,2
951,539,2
952,539,2
953,539,2
964,539,2
965,539,2
945,540,2
948,540,2
949,540,2
950,540,2
966,540,2
967,540,2
968,540,2
946,541,2
947,541,2
969,541,2
970,541,2
971,542,2
971,543,2
972,544,2
973,545,2
974,546,2
974,547,2
975,548,2
976,549,2
961,437,1
959,438,2
960,438,2
957,439,2
958,439,2
955,440,2
956,440,2
953,441,2
954,441,2
951,442,2
952,442,2
862,443,2
863,443,2
949,443,2
950,443,2
864,444,2
865,444,2
866,444,2
947,444,2
948,444,2
867,445,2
868,445,2
943,445,2
944,445,2
945,445,2
946,445,2
869,446,2
870,446,2
871,446,2
939,446,2
940,446,2
941,446,2
942,446,2
872,447,2
873,447,2
874,447,2
935,447,2
936,447,2
937,447,2
938,447,2
875,448,2
876,448,2
931,448,2
932,448,2
933,448,2
934,448,2
877,449,2
878,449,2
879,449,2
926,449,2
927,449,2
928,449,2
929,449,2
930,449,2
880,450,2
881,450,2
882,450,2
883,450,2
884,450,2
885,450,2
886,450,2
887,450,2
918,450,2
919,450,2
920,450,2
921,450,2
922,450,2
923,450,2
924,450,2
925,450,2
888,451,2
889,451,2
890,451,2
891,451,2
892,451,2
893,451,2
894,451,2
895,451,2
896,451,2
897,451,2
898,451,2
899,451,2
910,451,2
911,451,2
912,451,2
913,451,2
914,451,2
915,451,2
916,451,2
917,451,2
900,452,2
901,452,2
902,452,2
903,452,2
904,452,2
905,452,2
906,452,2
907,452,2
908,452,2
909,452,2
890,397,1
